,GameId,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,X3FGM,X3FGA,FTA,FTM,Fouls,Winner
238,119,Duke Blue Devils,1,87,18,16,10,4,41,9,32,63,36,6,17,14,9,14,
239,120,Louisville Cardinals,1,75,12,9,1,3,48,11,37,63,30,2,22,15,13,10,Louisville Cardinals
240,120,Notre Dame Fighting Irish,0,61,13,6,7,0,29,6,23,62,24,9,26,14,4,12,
241,121,Georgia Tech Yellow Jackets,1,81,19,9,4,3,34,12,22,61,31,8,25,20,11,18,Georgia Tech Yellow Jackets
242,121,Boston College Eagles,0,78,20,6,5,6,34,13,21,66,32,3,17,15,11,18,
243,122,Syracuse Orange,1,53,8,9,9,4,30,11,19,57,19,8,25,11,7,13,Virginia Cavaliers
244,122,Virginia Cavaliers,0,79,21,11,7,8,32,6,26,51,28,18,25,11,5,16,
245,123,Wake Forest Demon Deacons,0,70,8,9,3,1,36,9,27,71,28,7,23,12,7,22,Duke Blue Devils
246,123,Duke Blue Devils,1,71,10,15,3,7,38,9,29,58,24,7,22,26,16,14,
247,124,Florida State Seminoles,1,73,12,7,6,1,31,8,23,58,22,10,36,22,19,15,Florida State Seminoles
248,124,Virginia Tech Hokies,0,64,11,14,3,0,37,7,30,53,22,8,27,15,12,21,
